math,eng,state,years
576,682,Oklahoma,2020
788,493,Washington,2019
578,362,Delaware,2020
510,252,North Carolina,2020
279,588,Tennessee,2021
420,569,California,2019
470,263,South Carolina,2021
755,720,Virginia,2021
403,602,Iowa,2019
427,574,Kentucky,2020
276,367,South Dakota,2019
356,534,Arizona,2021
325,499,Minnesota,2021
477,385,California,2019
246,542,Alaska,2019
730,422,North Dakota,2020
522,730,North Carolina,2021
360,649,Missouri,2021
714,786,Rhode Island,2020
398,432,Michigan,2021
408,679,Washington,2019
400,389,Montana,2021
747,791,Montana,2021
379,212,Hawaii,2021
666,787,Hawaii,2020
775,661,Arkansas,2021
672,560,Tennessee,2021
275,701,South Dakota,2021
378,222,Louisiana,2019
301,261,Illinois,2021
340,624,Arizona,2020
517,476,Oregon,2020
513,607,Minnesota,2020
446,469,Hawaii,2021
556,318,Indiana,2020
289,289,New Hampshire,2021
215,623,New Mexico,2020
607,684,Alabama,2020
469,624,Alaska,2020
562,666,Connecticut,2021
727,747,Washington,2021
401,736,Washington,2021
757,684,New Hampshire,2021
379,420,Oregon,2021
389,540,New Mexico,2019
407,234,Hawaii,2021
708,288,Iowa,2019
352,531,Georgia,2021
504,795,Maryland,2021
646,574,North Carolina,2021
392,721,Nevada,2021
309,752,Michigan,2019
318,618,North Carolina,2019
314,235,Washington,2019
572,572,Vermont,2021
539,304,North Carolina,2021
623,424,Delaware,2021
675,537,Idaho,2020
366,473,Michigan,2020
716,668,California,2021
383,501,Michigan,2019
796,775,Mississippi,2021
749,432,Alabama,2019
624,465,Idaho,2019
339,754,Alaska,2019
635,378,Oregon,2021
611,499,Hawaii,2019
427,725,South Dakota,2021
524,562,Alaska,2021
263,597,Virginia,2021
461,720,West Virginia,2021
475,317,North Dakota,2020
712,384,Delaware,2019
352,465,North Carolina,2020
620,752,Pennsylvania,2020
326,244,Virginia,2021
418,302,Texas,2020
724,224,Washington,2019
423,330,Pennsylvania,2019
654,787,Massachusetts,2020
500,429,South Carolina,2021
288,569,Kansas,2020
603,240,Pennsylvania,2021
229,314,Virginia,2020
445,613,New Hampshire,2019
355,270,Florida,2021
315,656,Rhode Island,2020
246,738,North Carolina,2020
680,311,West Virginia,2021
264,682,Kansas,2021
544,331,West Virginia,2019
232,348,Maine,2020
503,446,Rhode Island,2021
638,532,West Virginia,2019
422,743,New Jersey,2020
542,637,New Mexico,2020
555,739,Montana,2019
502,711,South Carolina,2019
656,595,North Carolina,2020
540,266,New York,2019
697,557,Rhode Island,2019
737,469,Massachusetts,2020
307,358,Arkansas,2019
320,563,Alaska,2019
229,646,Illinois,2019
455,548,Georgia,2019
444,423,Florida,2019
508,249,Colorado,2020
623,251,South Carolina,2019
546,735,Arizona,2021
256,448,Louisiana,2020
341,652,New York,2020
479,379,New York,2021
253,470,Massachusetts,2020
522,293,Missouri,2019
363,568,Nevada,2020
224,209,Kentucky,2020
276,669,Michigan,2020
252,488,South Carolina,2021
467,686,Wyoming,2019
219,429,Oregon,2019
668,329,New Mexico,2020
529,484,Mississippi,2021
352,643,Alaska,2019
766,463,Florida,2020
770,349,Nebraska,2021
691,512,New Jersey,2019
580,452,Maryland,2020
743,780,Oklahoma,2019
689,747,New Mexico,2020
257,393,Illinois,2020
245,217,Tennessee,2020
664,643,Rhode Island,2019
356,599,North Carolina,2021
643,559,New Jersey,2021
418,388,Missouri,2020
705,226,North Carolina,2019
443,667,Florida,2021
647,308,California,2020
493,595,Michigan,2021
210,464,Kentucky,2021
585,284,Arizona,2021
254,367,Georgia,2019
650,676,Iowa,2020
530,458,Louisiana,2019
278,791,Delaware,2021
560,584,New Jersey,2020
483,502,Alabama,2020
295,338,New York,2021
367,434,Oregon,2021
610,611,Colorado,2020
427,666,Alabama,2021
586,769,Alaska,2020
212,253,Maine,2019
201,594,Nevada,2021
311,622,California,2021
457,284,Rhode Island,2021
541,668,Ohio,2020
488,406,South Carolina,2021
795,318,Oklahoma,2020
711,573,Michigan,2019
445,283,Nevada,2019
320,287,Indiana,2020
724,456,Arkansas,2019
669,726,Hawaii,2019
771,377,Vermont,2021
213,456,New Jersey,2019
486,392,New Mexico,2019
591,530,Rhode Island,2019
548,358,Iowa,2019
544,682,West Virginia,2020
417,297,Missouri,2019
634,481,Oklahoma,2020
435,522,Massachusetts,2021
714,629,Michigan,2020
447,759,Pennsylvania,2019
270,369,West Virginia,2020
215,702,Idaho,2019
373,619,Washington,2021
475,618,Colorado,2021
676,364,Maryland,2019
704,403,Virginia,2021
585,704,California,2020
548,281,Nevada,2020
497,625,Vermont,2019
258,750,Alabama,2020
268,387,Wyoming,2020
641,418,Delaware,2020
335,640,Washington,2019
396,445,Massachusetts,2021
449,782,Louisiana,2020
750,550,Georgia,2019
742,689,Illinois,2019
636,640,South Dakota,2020
518,336,Vermont,2021
752,211,Montana,2021
609,259,Utah,2019
249,521,North Carolina,2021
387,389,Missouri,2020
675,589,Nebraska,2020
426,673,Massachusetts,2020
314,389,Illinois,2019
433,633,Michigan,2020
250,550,Michigan,2019
389,581,Nevada,2019
372,346,Louisiana,2021
680,441,Oklahoma,2021
506,405,Kansas,2021
632,777,Idaho,2020
447,364,Minnesota,2020
293,637,Virginia,2020
778,438,Delaware,2020
467,634,South Carolina,2020
526,778,Indiana,2019
450,204,Delaware,2020
739,453,Arizona,2021
212,584,Rhode Island,2020
338,530,Oklahoma,2020
323,274,Arizona,2020
581,618,Alaska,2021
763,537,Kentucky,2021
398,592,Indiana,2019
457,773,Oregon,2020
681,209,Oregon,2021
300,439,Mississippi,2019
771,367,Alabama,2019
351,680,Montana,2020
725,400,Kentucky,2020
655,545,Georgia,2021
552,690,Delaware,2020
397,301,Washington,2021
579,794,Louisiana,2021
325,519,Oregon,2020
374,688,North Carolina,2020
662,685,Idaho,2021
376,367,Texas,2019
277,256,Nebraska,2021
512,526,Idaho,2020
443,650,Texas,2020
297,715,Tennessee,2021
294,362,Michigan,2021
727,699,Arizona,2021
636,301,Oklahoma,2021
774,772,New York,2021
353,210,Louisiana,2021
582,668,New Jersey,2021
661,533,California,2021
402,693,New Hampshire,2021
717,371,North Carolina,2019
631,693,Michigan,2020
434,612,Wyoming,2020
561,420,Texas,2020
741,666,Maine,2019
284,229,Kansas,2021
657,648,Maryland,2021
217,226,Kentucky,2019
402,682,Tennessee,2020
504,230,Tennessee,2019
677,709,Oklahoma,2021
471,479,Oklahoma,2019
771,691,Montana,2019
637,452,Maryland,2019
568,308,Wisconsin,2019
577,768,Massachusetts,2021
417,544,Connecticut,2020
336,306,New York,2021
685,560,New York,2019
476,761,Oregon,2021
784,630,Washington,2021
434,679,Vermont,2021
461,746,Missouri,2019
624,327,Arizona,2021
291,439,Indiana,2019
446,385,Kentucky,2020
513,584,Nevada,2019
616,349,West Virginia,2021
619,538,Massachusetts,2021
297,402,Ohio,2021
416,657,Delaware,2021
475,552,Arizona,2020
310,738,Illinois,2021
664,562,Nebraska,2020
564,781,Michigan,2019
255,746,Florida,2019
258,406,Virginia,2021
699,244,Virginia,2019
622,486,Montana,2019
652,618,North Dakota,2021
405,713,West Virginia,2021
608,543,Michigan,2019
650,725,Colorado,2021
569,439,Oregon,2020
712,473,Michigan,2019
458,742,Arizona,2021
482,767,Wyoming,2020
374,615,Vermont,2021
448,415,Arkansas,2019
286,791,Alabama,2020
635,520,Delaware,2021
454,593,Idaho,2021
209,268,Idaho,2019
662,741,Missouri,2020
609,493,Ohio,2021
791,271,Tennessee,2020
506,642,Minnesota,2019
446,264,Texas,2021
652,787,New York,2019
480,734,Washington,2021
274,600,Alaska,2020
540,775,Indiana,2021
744,601,Oklahoma,2019
312,406,Illinois,2021
472,740,Connecticut,2020
541,522,Texas,2021
497,734,Oregon,2020
381,797,Ohio,2021
749,347,Washington,2020
556,708,Oregon,2020
575,576,Wisconsin,2019
751,426,Maine,2021
764,261,Maine,2019
498,720,New Hampshire,2021
650,533,Indiana,2021
787,519,Wyoming,2019
268,302,Ohio,2019
231,588,Hawaii,2019
673,394,Louisiana,2019
746,215,Missouri,2021
292,648,Wisconsin,2019
498,470,Oregon,2019
572,620,Maryland,2020
284,370,California,2019
580,509,West Virginia,2021
383,316,Tennessee,2020
661,450,South Dakota,2020
340,480,Utah,2020
376,240,New Mexico,2020
712,788,Kentucky,2021
244,350,Washington,2019
486,256,Louisiana,2021
382,213,New York,2020
568,787,Utah,2021
422,651,Illinois,2020
662,247,Nevada,2020
362,504,Oregon,2020
706,768,Hawaii,2021
739,442,South Carolina,2021
481,748,Pennsylvania,2020
205,218,Massachusetts,2019
777,209,Maryland,2021
687,423,Georgia,2021
488,680,Minnesota,2021
763,421,Nebraska,2020
507,684,Georgia,2020
552,743,California,2021
660,417,Missouri,2019
525,201,West Virginia,2019
202,271,Louisiana,2021
577,691,Arizona,2019
372,694,Vermont,2019
477,433,Utah,2021
208,528,Idaho,2019
354,567,Florida,2020
743,494,South Carolina,2021
302,314,West Virginia,2020
260,322,Missouri,2019
730,766,Missouri,2021
501,495,Ohio,2019
662,217,Wyoming,2019
253,237,Georgia,2019
469,493,Texas,2019
401,781,Minnesota,2020
329,295,Georgia,2020
671,296,Arkansas,2020
393,688,Oklahoma,2020
594,355,Maine,2020
642,477,South Dakota,2019
321,708,Massachusetts,2021
482,420,Minnesota,2019
541,588,Kansas,2021
659,410,Wisconsin,2020
218,286,Minnesota,2019
399,657,North Dakota,2020
790,494,North Carolina,2020
793,346,North Dakota,2019
390,756,Connecticut,2020
254,774,Georgia,2021
381,776,Minnesota,2020
321,728,Indiana,2019
409,579,Indiana,2021
220,252,Washington,2020
473,773,Hawaii,2021
694,305,Arizona,2019
779,290,New Hampshire,2021
705,523,Vermont,2019
777,709,Alaska,2020
741,286,Minnesota,2019
714,580,Montana,2020
395,359,Massachusetts,2019
515,415,Washington,2021
456,241,Indiana,2019
650,520,South Dakota,2020
249,622,Pennsylvania,2019
295,633,Georgia,2020
551,624,Pennsylvania,2021
473,573,North Carolina,2020
404,353,Missouri,2019
485,489,Missouri,2019
519,315,Missouri,2021
269,726,Arkansas,2021
253,653,Nevada,2019
361,714,Wyoming,2019
629,760,Idaho,2020
502,495,New Jersey,2019
477,442,Florida,2021
216,653,Wisconsin,2019
453,662,Wisconsin,2019
513,343,Rhode Island,2019
338,696,Kentucky,2020
565,278,Illinois,2020
628,229,Michigan,2019
470,415,Kansas,2019
530,257,Washington,2019
378,683,Colorado,2021
510,382,Missouri,2021
326,799,California,2019
218,568,Connecticut,2021
350,588,New Hampshire,2019
437,393,South Carolina,2019
557,782,New Hampshire,2019
555,439,Florida,2019
774,680,Alabama,2020
258,324,Delaware,2021
236,309,Idaho,2021
496,404,New York,2019
314,438,Pennsylvania,2020
369,391,Georgia,2020
679,636,Connecticut,2019
630,557,South Carolina,2019
340,245,California,2019
533,482,Wisconsin,2019
384,681,Alabama,2020
661,265,Vermont,2021
639,601,Maryland,2019
669,592,Hawaii,2021
222,289,Alabama,2021
438,480,Connecticut,2021
388,435,Wyoming,2020
299,629,Wyoming,2019
505,768,North Dakota,2020
659,695,Wyoming,2020
610,333,Mississippi,2019
319,355,Iowa,2020
555,782,Ohio,2021
221,416,Louisiana,2021
310,646,New Mexico,2019
697,641,New Hampshire,2020
790,252,Maine,2021
356,746,Illinois,2020
329,338,New Jersey,2019
400,720,Mississippi,2019
292,753,North Dakota,2020
324,730,Florida,2019
565,639,Tennessee,2020
366,651,North Dakota,2020
535,219,Oklahoma,2020
438,625,South Carolina,2021
497,698,Arkansas,2021
591,340,California,2020
222,278,North Dakota,2021
528,261,Vermont,2020
611,273,Delaware,2019
568,756,California,2021
404,269,Georgia,2019
301,583,Hawaii,2021
267,348,Tennessee,2020
558,579,Maine,2019
318,365,Colorado,2019
411,546,Oregon,2021
358,730,Washington,2020
247,299,South Carolina,2021
427,296,Louisiana,2020
321,241,New York,2020
277,582,West Virginia,2021
296,348,Wisconsin,2019
794,589,Connecticut,2020
626,550,New Hampshire,2021
793,608,Missouri,2021
764,677,Virginia,2020
771,633,Mississippi,2019
453,283,Arkansas,2020
402,229,Michigan,2021
722,561,Alabama,2020
361,406,Maryland,2018
797,628,Mississippi,2021
300,651,Massachusetts,2021
219,543,West Virginia,2019
327,554,Maryland,2021
725,526,Oregon,2021
748,488,Delaware,2020
729,754,Louisiana,2021
268,719,Texas,2019
387,327,Maryland,2021
528,703,Georgia,2020
300,646,Texas,2019
788,414,Virginia,2021
639,425,Florida,2020
349,324,Washington,2021
274,216,Idaho,2021
608,546,Texas,2019
325,359,Vermont,2019
347,301,Nebraska,2020
514,531,Vermont,2019
372,417,Missouri,2021
361,221,Washington,2019
750,319,New York,2019
772,277,Montana,2021
289,415,Oregon,2020
648,418,Iowa,2020
550,761,Kentucky,2021
287,268,Colorado,2020
320,282,North Dakota,2019
654,449,North Carolina,2021
664,360,California,2021
280,598,Tennessee,2019
513,518,Kentucky,2021
280,461,Nebraska,2019
528,320,Texas,2019
731,400,Montana,2021
753,245,Tennessee,2020
462,765,West Virginia,2020
611,243,Texas,2020
360,693,Alabama,2019
391,769,South Dakota,2019
706,279,Florida,2019
224,737,Oregon,2019
797,419,Vermont,2021
318,289,Idaho,2020
383,389,West Virginia,2021
508,529,Texas,2019
246,790,Indiana,2020
305,338,Wisconsin,2019
427,587,Virginia,2021
453,471,Maryland,2021
772,346,West Virginia,2019
454,233,Minnesota,2020
315,445,Georgia,2019
497,559,New Hampshire,2020
412,508,Delaware,2019
590,242,Pennsylvania,2019
611,799,Nevada,2019
282,684,New Hampshire,2021
489,563,Idaho,2020
653,446,Connecticut,2021
209,246,Arkansas,2020
469,793,North Carolina,2020
218,242,Oregon,2021
487,298,South Dakota,2019
725,625,Arkansas,2020
371,534,Louisiana,2019
467,214,Mississippi,2021
587,752,Oregon,2019
407,239,North Carolina,2019
405,575,New York,2020
518,331,Louisiana,2020
255,229,South Carolina,2021
384,682,West Virginia,2019
301,207,Hawaii,2021
320,253,Georgia,2021
550,712,Maryland,2020
690,440,Michigan,2019
539,747,New Mexico,2019
413,215,New York,2021
746,216,Vermont,2019
268,521,New Jersey,2019
371,584,Pennsylvania,2020
260,452,Colorado,2019
436,218,New Mexico,2021
628,219,Maryland,2021
238,694,New Jersey,2020
599,663,South Carolina,2019
494,500,Utah,2021
402,201,Indiana,2020
660,450,Rhode Island,2019
218,299,Massachusetts,2020
258,756,Utah,2021
375,581,Louisiana,2021
630,298,Oregon,2021
731,464,Kansas,2019
386,718,North Carolina,2021
254,372,West Virginia,2020
543,385,Illinois,2021
712,543,Kentucky,2021
441,516,Michigan,2019
506,580,Oregon,2020
320,252,Kentucky,2020
715,770,California,2021
613,565,Louisiana,2019
546,360,New Mexico,2020
431,550,Washington,2019
503,785,Rhode Island,2020
795,395,Colorado,2021
313,260,Illinois,2021
272,747,New York,2020
742,793,Louisiana,2021
728,425,Arkansas,2019
249,455,Nevada,2019
722,793,Indiana,2021
529,496,New Mexico,2020
604,459,Idaho,2021
545,730,South Carolina,2021
733,555,Washington,2019
473,448,Georgia,2021
410,397,Wisconsin,2019
479,542,Indiana,2019
274,569,Wisconsin,2019
310,238,Alaska,2019
454,495,Georgia,2020
590,596,Rhode Island,2019
207,302,North Dakota,2021
487,730,Montana,2021
328,391,Pennsylvania,2019
419,475,California,2021
467,760,Michigan,2019
475,773,Oregon,2020
201,680,New Mexico,2021
236,278,Missouri,2019
509,510,Alaska,2020
454,202,Arkansas,2020
337,609,Oregon,2019
653,719,Alaska,2019
295,211,Nebraska,2019
539,466,Louisiana,2021
449,621,Hawaii,2021
215,709,North Carolina,2019
643,359,Hawaii,2021
234,476,Maryland,2019
765,238,Oregon,2021
725,415,Arizona,2019
635,439,Utah,2019
763,449,Kansas,2021
356,656,Tennessee,2021
404,314,Oklahoma,2019
743,693,Alaska,2019
308,759,Iowa,2020
540,456,Iowa,2021
716,763,Idaho,2019
681,276,Kentucky,2019
255,246,North Dakota,2020
380,538,California,2020
440,641,Nevada,2020
701,461,Vermont,2020
492,608,Idaho,2019
427,572,Wyoming,2021
340,621,Oklahoma,2019
304,777,Utah,2020
637,792,Hawaii,2019
603,618,Oklahoma,2019
230,751,New Jersey,2021
271,331,Kentucky,2020
475,677,Arizona,2019
624,221,Ohio,2020
603,626,Idaho,2019
749,326,North Dakota,2019
289,525,New Mexico,2020
300,282,Washington,2020
212,374,Oregon,2021
603,539,Washington,2019
483,249,Kentucky,2021
379,667,Utah,2021
792,238,West Virginia,2021
458,656,South Dakota,2021
470,639,Alabama,2020
473,442,North Carolina,2019
770,377,Nebraska,2019
621,370,Kentucky,2020
637,201,New Mexico,2021
616,478,Kentucky,2021
269,255,Wisconsin,2019
500,772,Iowa,2021
287,487,Ohio,2021
343,204,North Dakota,2021
700,549,Indiana,2021
784,601,South Dakota,2020
463,611,Arizona,2020
753,592,Mississippi,2020
657,632,Arkansas,2020
482,237,Oklahoma,2020
607,705,Minnesota,2020
373,797,Nevada,2021
554,732,Massachusetts,2021
643,234,Wyoming,2019
720,242,Ohio,2021
628,602,New Mexico,2019
696,502,Alabama,2020
779,774,West Virginia,2020
722,350,Michigan,2021
254,376,West Virginia,2019
703,668,Montana,2019
533,448,New York,2021
497,782,Georgia,2021
503,276,New Jersey,2021
459,689,Georgia,2019
746,497,West Virginia,2021
646,704,Kentucky,2019
555,685,Colorado,2021
649,536,Virginia,2020
675,409,Tennessee,2019
466,513,Virginia,2020
727,519,Alabama,2021
451,539,Massachusetts,2019
781,470,West Virginia,2020
273,792,Maine,2021
651,528,Oklahoma,2019
439,500,California,2020
247,569,Wisconsin,2021
753,254,Massachusetts,2020
741,483,Colorado,2019
369,736,Oklahoma,2021
400,720,Idaho,2020
719,606,Ohio,2020
281,273,Mississippi,2021
476,770,Indiana,2021
415,210,North Dakota,2020
502,443,Maine,2021
763,378,Ohio,2020
407,660,Texas,2021
611,668,Illinois,2020
574,626,Florida,2021
720,387,Alabama,2019
453,609,Minnesota,2019
373,628,Indiana,2020
267,279,Texas,2019
619,377,Maine,2019
303,666,Florida,2021
445,532,Delaware,2020
456,530,Oklahoma,2021
574,330,New Hampshire,2021
541,734,Kansas,2019
263,758,Vermont,2019
214,592,Louisiana,2021
623,453,Alaska,2020
616,491,Pennsylvania,2019
446,345,Michigan,2020
753,639,New Mexico,2020
754,553,Massachusetts,2021
378,291,New Jersey,2021
317,277,Indiana,2020
732,684,Louisiana,2019
400,593,Georgia,2019
474,693,Wyoming,2021
278,501,California,2019
373,593,Alabama,2020
533,734,Idaho,2020
490,220,Georgia,2019
764,646,Iowa,2020
419,275,Nevada,2019
508,253,Connecticut,2020
675,680,New Hampshire,2021
264,390,Connecticut,2020
502,382,Maine,2020
726,304,Wyoming,2019
302,531,Washington,2019
709,483,Texas,2019
770,384,Nebraska,2021
376,634,Illinois,2019
679,689,Indiana,2019
314,667,Iowa,2019
331,640,Delaware,2021
546,232,New Mexico,2021
778,746,Connecticut,2020
253,322,North Carolina,2020
446,379,Massachusetts,2021
624,771,Utah,2020
499,522,Kansas,2019
228,536,Washington,2020
308,411,Georgia,2020
383,559,Rhode Island,2020
653,418,Georgia,2019
250,475,North Dakota,2021
457,497,Montana,2021
568,212,Alabama,2019
502,355,Kentucky,2019
227,702,South Dakota,2020
446,562,Arizona,2021
350,704,Pennsylvania,2020
560,458,New Jersey,2021
665,706,North Carolina,2019
627,247,Alaska,2020
229,737,Utah,2021
316,381,New Mexico,2020
698,314,New Jersey,2020
562,662,Pennsylvania,2019
202,314,New Hampshire,2019
466,572,New York,2019
540,374,Louisiana,2020
329,239,Wisconsin,2021
740,380,New York,2019
756,535,North Carolina,2021
778,735,Iowa,2021
425,434,Washington,2021
423,443,Oklahoma,2020
569,672,Oklahoma,2020
337,559,Nebraska,2020
662,486,Ohio,2019
612,767,Wyoming,2020
532,280,Alabama,2019
677,633,North Carolina,2020
659,740,Kentucky,2021
473,636,Georgia,2021
208,491,West Virginia,2021
435,256,Maine,2020
575,714,Washington,2020
570,481,Kentucky,2019
600,226,Nebraska,2020
417,391,Idaho,2019
273,235,Iowa,2021
439,308,Idaho,2020
417,764,Connecticut,2020
715,688,Massachusetts,2021
374,571,New Jersey,2019
632,280,Oklahoma,2021
502,203,Oregon,2020
226,800,California,2021
288,352,Idaho,2021
726,588,Wyoming,2021
434,246,Illinois,2021
316,736,New Mexico,2019
569,580,North Carolina,2021
569,383,Kansas,2020
769,347,West Virginia,2021
564,622,Kansas,2021
592,348,Nevada,2021
254,678,Rhode Island,2019
463,270,Utah,2021
379,642,Pennsylvania,2021
411,729,Tennessee,2019
492,425,Kansas,2021
787,420,Florida,2019
329,414,New Jersey,2019
362,308,South Carolina,2019
367,675,Wisconsin,2021
425,508,New Mexico,2019
457,413,Mississippi,2020
491,289,Alaska,2019
201,200,Georgia,2020
277,681,Mississippi,2019
392,664,West Virginia,2020
651,311,California,2021
455,631,Minnesota,2021
357,486,Alaska,2020
481,290,Florida,2019
394,271,Massachusetts,2019
640,761,Alabama,2020
293,509,Maine,2021
779,230,California,2019
489,666,Arkansas,2021
327,713,Minnesota,2019
318,415,South Dakota,2021
797,236,Rhode Island,2021
521,234,New Jersey,2020
202,695,Delaware,2021
465,349,Missouri,2021
744,285,Delaware,2020
413,775,New Hampshire,2021
210,493,Alaska,2019
603,715,Hawaii,2021
272,631,Alaska,2020
257,305,New Hampshire,2020
249,557,Rhode Island,2019
344,700,Washington,2020
451,401,Connecticut,2019
763,419,Oregon,2020
482,450,Nevada,2019
748,485,Massachusetts,2021
329,446,Ohio,2020
731,751,Wyoming,2020
508,282,Idaho,2021
606,776,Nevada,2019
732,286,Washington,2019
743,243,Arizona,2020
709,759,South Dakota,2020
532,479,Maryland,2021
284,269,Illinois,2021
448,206,Nebraska,2021
258,384,California,2021
685,221,Oklahoma,2021
736,732,Rhode Island,2019
377,221,Utah,2021
644,510,Indiana,2021
564,518,Michigan,2021
276,689,North Carolina,2020
520,300,Nevada,2019
428,719,Rhode Island,2020
435,246,Alabama,2020
745,654,West Virginia,2019
278,673,Louisiana,2021
668,725,Arizona,2019
342,759,Missouri,2021
248,653,Arkansas,2019
225,795,California,2020
472,403,Hawaii,2019
377,769,New Jersey,2021
752,371,New Mexico,2021
573,474,Iowa,2021
333,468,Connecticut,2021
529,639,Montana,2019
664,350,Wyoming,2020
798,700,Minnesota,2020
303,685,Arizona,2021
367,220,Utah,2019
423,279,Georgia,2020
209,340,Minnesota,2021
231,647,Indiana,2021
414,665,Louisiana,2019
397,677,Mississippi,2020
719,697,Maine,2019
657,419,Oklahoma,2020
584,556,Tennessee,2019
499,366,New York,2020
562,501,Delaware,2020
293,239,New Mexico,2021
480,316,Nevada,2020
280,207,Utah,2019
411,338,Louisiana,2020
350,517,New Hampshire,2021
434,737,Utah,2021
296,681,North Carolina,2021
604,726,Wyoming,2021
756,527,Alaska,2021
592,383,West Virginia,2020
524,393,Michigan,2021
347,302,Idaho,2019
597,785,Vermont,2021
227,758,South Carolina,2019
680,712,West Virginia,2020
436,475,Wyoming,2019
312,729,Alabama,2020
625,594,Alabama,2020
323,610,Montana,2019
638,392,Utah,2020
351,300,Pennsylvania,2021
559,432,Tennessee,2021
529,220,Colorado,2020
202,677,Louisiana,2020
236,752,Utah,2019
345,444,Rhode Island,2020
605,392,Minnesota,2019
676,671,Illinois,2020
424,472,New Jersey,2019
343,703,Tennessee,2021
720,788,Illinois,2019
694,751,Rhode Island,2020
496,611,New York,2020
440,365,Oklahoma,2019
605,572,Colorado,2019
316,455,Maryland,2021
697,364,Minnesota,2020
328,208,North Carolina,2021
744,737,Washington,2020
556,743,Connecticut,2019
527,420,Vermont,2019
743,706,Kansas,2019
272,376,Georgia,2021
487,765,Indiana,2021
539,367,Virginia,2019
406,533,Minnesota,2020
726,267,Wisconsin,2021
450,290,Oklahoma,2021
770,200,Alabama,2019
508,602,Arkansas,2019
601,535,Alabama,2020
244,635,West Virginia,2020
567,718,South Dakota,2020
210,782,Oregon,2020
767,636,Michigan,2019
650,437,Texas,2021
488,456,Montana,2020
679,412,Rhode Island,2021
296,459,Kentucky,2020
745,414,Maine,2019
266,460,Mississippi,2021
716,770,Pennsylvania,2020
356,726,Idaho,2019
305,538,Oregon,2020
422,730,Maine,2021
273,558,Idaho,2021
243,376,South Dakota,2021
381,776,South Dakota,2019
470,335,Iowa,2019
383,271,Nevada,2020
621,604,Texas,2021
457,406,Massachusetts,2021
389,460,California,2019
304,216,New Mexico,2020
443,695,West Virginia,2020
345,292,Wisconsin,2020
464,723,Minnesota,2021
295,792,Nevada,2020
235,277,New Mexico,2019
226,733,Maine,2020
308,640,Massachusetts,2021
769,256,Wyoming,2019
447,237,Virginia,2020
353,666,Arizona,2021
673,471,Tennessee,2020
344,589,Vermont,2019
734,738,Alabama,2021
316,533,Utah,2020
235,610,Texas,2019
417,423,Texas,2019
622,312,Colorado,2019
628,527,Tennessee,2021
261,643,Wisconsin,2021
292,509,Minnesota,2021
581,769,New Jersey,2020
645,365,Maryland,2019
708,365,Virginia,2020
433,695,Florida,2019
561,271,Missouri,2020
488,495,Alabama,2019
690,503,Kansas,2019
666,647,New Hampshire,2020
422,457,Georgia,2019
362,302,Delaware,2020
775,535,New Hampshire,2021
226,342,Vermont,2020
384,239,Indiana,2019
683,379,North Carolina,2021
725,800,Arizona,2020
338,756,Utah,2020
381,387,Georgia,2021
334,570,New Hampshire,2021
472,618,Nebraska,2020
575,616,Indiana,2021
374,762,Ohio,2021
499,742,Massachusetts,2020
637,743,Rhode Island,2020
530,698,New Hampshire,2021
629,362,Illinois,2020
304,743,New Mexico,2020
599,339,Ohio,2019
544,443,Tennessee,2019
204,524,Alaska,2020
390,312,Delaware,2020
671,638,Florida,2020
346,516,Virginia,2019
248,602,North Carolina,2019
377,285,North Carolina,2020
669,327,Nevada,2020
463,258,Maryland,2019
773,716,Tennessee,2021
415,554,Massachusetts,2019
540,583,Kentucky,2020
649,267,South Dakota,2021
696,549,Pennsylvania,2019
415,768,Maine,2021
635,237,Ohio,2021
512,217,California,2019
655,576,Pennsylvania,2021
371,201,Montana,2019
709,573,Nevada,2021
377,288,West Virginia,2021
240,770,Ohio,2019
657,781,North Carolina,2019
549,629,South Carolina,2019
741,635,Florida,2020
284,442,Texas,2019
210,798,Maine,2019
603,202,Maryland,2020
613,388,Indiana,2020
758,263,Michigan,2020
308,501,Wyoming,2021
692,800,Delaware,2021
470,211,Pennsylvania,2021
740,202,Delaware,2019
291,314,Illinois,2021
513,560,Washington,2021
668,316,North Carolina,2021
414,685,Texas,2019
767,437,Florida,2020
465,741,Missouri,2019
265,429,Utah,2019
289,710,Louisiana,2021
235,575,Mississippi,2021
435,325,Wyoming,2021
282,604,Massachusetts,2021
401,795,Arizona,2019
275,444,Kansas,2020
524,742,Maine,2021
546,705,Maryland,2020
495,250,Alaska,2020
358,626,Nebraska,2020
577,740,North Carolina,2020
333,537,New Mexico,2021
470,308,California,2020
421,403,Delaware,2021
252,348,Nevada,2020
551,783,Oklahoma,2019
521,607,California,2020
206,707,Massachusetts,2020
209,791,Arkansas,2021
645,545,Iowa,2021
554,379,New York,2020
461,420,Connecticut,2020
596,619,Massachusetts,2020
718,427,Alaska,2021
441,425,Louisiana,2020
373,284,Louisiana,2021
574,414,Idaho,2020
314,273,Ohio,2021
319,573,Rhode Island,2021
690,582,Oklahoma,2020
575,317,Rhode Island,2019
781,377,Vermont,2020
600,601,Wyoming,2021
624,548,Kansas,2021
476,427,Kansas,2020
725,513,Colorado,2020
777,269,Texas,2021
250,639,Arizona,2020
450,307,California,2021
651,615,Rhode Island,2021
450,295,Tennessee,2019
241,424,Louisiana,2020
708,544,Florida,2020
355,613,Pennsylvania,2020
324,569,Illinois,2021
289,262,Delaware,2019
441,452,Maine,2021
595,463,New Mexico,2021
